operationId,path,verb,description,resource,originalResourceName,method,sqlVerb,objectKey,reqPaginationKey,reqPaginationLocation,respPaginationKey,respPaginationLocation
CreatePipe,/v1/pipes/{Name},POST,Create a pipe. Amazon EventBridge Pipes connect...,,pipes,create_pipe,insert,,,,,
DeletePipe,/v1/pipes/{Name},DELETE,Delete an existing pipe. For more information a...,,pipes,delete_pipe,delete,,,,,
DescribePipe,/v1/pipes/{Name},GET,Get the information about an existing pipe. For...,,pipes,describe_pipe,select,,,,,
ListPipes,/v1/pipes,GET,Get the pipes associated with this account. For...,,pipes,list_pipes,select,,,,,
ListTagsForResource,/tags/{resourceArn},GET,Displays the tags associated with a pipe.,,tags_for_resources,list_tags_for_resource,select,,,,,
StartPipe,/v1/pipes/{Name}/start,POST,Start an existing pipe.,pipe,pipes,start_pipe,exec,,,,,
StopPipe,/v1/pipes/{Name}/stop,POST,Stop an existing pipe.,,pipes,stop_pipe,exec,,,,,
TagResource,/tags/{resourceArn},POST,Assigns one or more tags (key-value pairs) to t...,,resources,tag_resource,exec,,,,,
UntagResource,/tags/{resourceArn},DELETE,Removes one or more tags from the specified pipes.,,resources,untag_resource,delete,,,,,
UpdatePipe,/v1/pipes/{Name},PUT,Update an existing pipe. When you call `UpdateP...,,pipes,update_pipe,update,,,,,
