operationId,path,verb,description,resource,originalResourceName,method,sqlVerb,objectKey,reqPaginationKey,reqPaginationLocation,respPaginationKey,respPaginationLocation
CreateComponent,/app/{appId}/environment/{environmentName}/components,POST,Creates a new component for an Amplify app.,components,components,create_component,insert,,,,,
CreateForm,/app/{appId}/environment/{environmentName}/forms,POST,Creates a new form for an Amplify app.,forms,forms,create_form,insert,,,,,
CreateTheme,/app/{appId}/environment/{environmentName}/themes,POST,Creates a theme to apply to the components in a...,themes,themes,create_theme,insert,,,,,
DeleteComponent,/app/{appId}/environment/{environmentName}/components/{id},DELETE,Deletes a component from an Amplify app.,components,components,delete_component,delete,,,,,
DeleteForm,/app/{appId}/environment/{environmentName}/forms/{id},DELETE,Deletes a form from an Amplify app.,forms,forms,delete_form,delete,,,,,
DeleteTheme,/app/{appId}/environment/{environmentName}/themes/{id},DELETE,Deletes a theme from an Amplify app.,themes,themes,delete_theme,delete,,,,,
ExchangeCodeForToken,/tokens/{provider},POST,This is for internal use. Amplify uses this act...,code_for_tokens,code_for_tokens,exchange_code_for_token,exec,,,,,
ExportComponents,/export/app/{appId}/environment/{environmentName}/components,GET,Exports component configurations to code that i...,components,components,export_components,select,$.entities,,,,
ExportForms,/export/app/{appId}/environment/{environmentName}/forms,GET,Exports form configurations to code that is rea...,forms,forms,export_forms,select,$.entities,,,,
ExportThemes,/export/app/{appId}/environment/{environmentName}/themes,GET,Exports theme configurations to code that is re...,themes,themes,export_themes,select,$.entities,,,,
GetCodegenJob,/app/{appId}/environment/{environmentName}/codegen-jobs/{id},GET,Returns an existing code generation job.,codegen_jobs,codegen_jobs,get_codegen_job,select,,,,,
GetComponent,/app/{appId}/environment/{environmentName}/components/{id},GET,Returns an existing component for an Amplify app.,components,components,get_component,select,,,,,
GetForm,/app/{appId}/environment/{environmentName}/forms/{id},GET,Returns an existing form for an Amplify app.,forms,forms,get_form,select,,,,,
GetMetadata,/app/{appId}/environment/{environmentName}/metadata,GET,Returns existing metadata for an Amplify app.,metadata,metadata,get_metadata,select,,,,,
GetTheme,/app/{appId}/environment/{environmentName}/themes/{id},GET,Returns an existing theme for an Amplify app.,themes,themes,get_theme,select,,,,,
ListCodegenJobs,/app/{appId}/environment/{environmentName}/codegen-jobs,GET,Retrieves a list of code generation jobs for a ...,codegen_jobs,codegen_jobs,list_codegen_jobs,select,$.entities,,,,
ListComponents,/app/{appId}/environment/{environmentName}/components,GET,Retrieves a list of components for a specified ...,components,components,list_components,select,$.entities,,,,
ListForms,/app/{appId}/environment/{environmentName}/forms,GET,Retrieves a list of forms for a specified Ampli...,forms,forms,list_forms,select,$.entities,,,,
ListTagsForResource,/tags/{resourceArn},GET,Returns a list of tags for a specified Amazon R...,tags,tags_for_resources,list_tags_for_resource,select,,,,,
ListThemes,/app/{appId}/environment/{environmentName}/themes,GET,Retrieves a list of themes for a specified Ampl...,themes,themes,list_themes,select,$.entities,,,,
PutMetadataFlag,/app/{appId}/environment/{environmentName}/metadata/features/{featureName},PUT,Stores the metadata information about a feature...,metadata_flags,metadata_flags,put_metadata_flag,insert,,,,,
RefreshToken,/tokens/{provider}/refresh,POST,This is for internal use. Amplify uses this act...,tokens,tokens,refresh_token,exec,,,,,
StartCodegenJob,/app/{appId}/environment/{environmentName}/codegen-jobs,POST,Starts a code generation job for a specified Am...,codegen_jobs,codegen_jobs,start_codegen_job,exec,,,,,
TagResource,/tags/{resourceArn},POST,Tags the resource with a tag key and value.,resources,resources,tag_resource,exec,,,,,
UntagResource,/tags/{resourceArn},DELETE,Untags a resource with a specified Amazon Resou...,resources,resources,untag_resource,delete,,,,,
UpdateComponent,/app/{appId}/environment/{environmentName}/components/{id},PATCH,Updates an existing component.,components,components,update_component,update,,,,,
UpdateForm,/app/{appId}/environment/{environmentName}/forms/{id},PATCH,Updates an existing form.,forms,forms,update_form,update,,,,,
UpdateTheme,/app/{appId}/environment/{environmentName}/themes/{id},PATCH,Updates an existing theme.,themes,themes,update_theme,update,,,,,
