operationId,path,verb,description,resource,originalResourceName,method,sqlVerb,objectKey,reqPaginationKey,reqPaginationLocation,respPaginationKey,respPaginationLocation
ActivateEventSource,/#X-Amz-Target=AWSEvents.ActivateEventSource,POST,Activates a partner event source that has been ...,event_source,event_sources,activate_event_source,exec,,,,,
CancelReplay,/#X-Amz-Target=AWSEvents.CancelReplay,POST,Cancels the specified replay.,replay,replays,cancel_replay,delete,,,,,
CreateApiDestination,/#X-Amz-Target=AWSEvents.CreateApiDestination,POST,"Creates an API destination, which is an HTTP in...",,api_destinations,create_api_destination,insert,,,,,
CreateArchive,/#X-Amz-Target=AWSEvents.CreateArchive,POST,Creates an archive of events with the specified...,archive,archives,create_archive,insert,,,,,
CreateConnection,/#X-Amz-Target=AWSEvents.CreateConnection,POST,Creates a connection. A connection defines the ...,connection,connections,create_connection,insert,,,,,
CreateEndpoint,/#X-Amz-Target=AWSEvents.CreateEndpoint,POST,Creates a global endpoint. Global endpoints imp...,endpoint,endpoints,create_endpoint,insert,,,,,
CreateEventBus,/#X-Amz-Target=AWSEvents.CreateEventBus,POST,Creates a new event bus within your account. Th...,event_bus,event_bus,create_event_bus,insert,,,,,
CreatePartnerEventSource,/#X-Amz-Target=AWSEvents.CreatePartnerEventSource,POST,Called by an SaaS partner to create a partner e...,partner_event_source,partner_event_sources,create_partner_event_source,insert,,,,,
DeactivateEventSource,/#X-Amz-Target=AWSEvents.DeactivateEventSource,POST,You can use this operation to temporarily stop ...,deactivate_event_source,event_sources,deactivate_event_source,exec,,,,,
DeauthorizeConnection,/#X-Amz-Target=AWSEvents.DeauthorizeConnection,POST,Removes all authorization parameters from the c...,deauthorize_connection,connections,deauthorize_connection,exec,,,,,
DeleteApiDestination,/#X-Amz-Target=AWSEvents.DeleteApiDestination,POST,Deletes the specified API destination.,,api_destinations,delete_api_destination,delete,,,,,
DeleteArchive,/#X-Amz-Target=AWSEvents.DeleteArchive,POST,Deletes the specified archive.,archive,archives,delete_archive,delete,,,,,
DeleteConnection,/#X-Amz-Target=AWSEvents.DeleteConnection,POST,Deletes a connection.,connection,connections,delete_connection,delete,,,,,
DeleteEndpoint,/#X-Amz-Target=AWSEvents.DeleteEndpoint,POST,Delete an existing global endpoint. For more in...,endpoint,endpoints,delete_endpoint,delete,,,,,
DeleteEventBus,/#X-Amz-Target=AWSEvents.DeleteEventBus,POST,Deletes the specified custom event bus or partn...,event_bus,event_bus,delete_event_bus,delete,,,,,
DeletePartnerEventSource,/#X-Amz-Target=AWSEvents.DeletePartnerEventSource,POST,This operation is used by SaaS partners to dele...,partner_event_source,partner_event_sources,delete_partner_event_source,delete,,,,,
DeleteRule,/#X-Amz-Target=AWSEvents.DeleteRule,POST,Deletes the specified rule. Before you can dele...,rule,rules,delete_rule,delete,,,,,
DescribeApiDestination,/#X-Amz-Target=AWSEvents.DescribeApiDestination,POST,Retrieves details about an API destination.,,api_destinations,describe_api_destination,select,,,,,
DescribeArchive,/#X-Amz-Target=AWSEvents.DescribeArchive,POST,Retrieves details about an archive.,archive,archives,describe_archive,select,,,,,
DescribeConnection,/#X-Amz-Target=AWSEvents.DescribeConnection,POST,Retrieves details about a connection.,connection,connections,describe_connection,select,,,,,
DescribeEndpoint,/#X-Amz-Target=AWSEvents.DescribeEndpoint,POST,Get the information about an existing global en...,endpoint,endpoints,describe_endpoint,select,,,,,
DescribeEventBus,/#X-Amz-Target=AWSEvents.DescribeEventBus,POST,Displays details about an event bus in your acc...,event_bus,event_bus,describe_event_bus,select,,,,,
DescribeEventSource,/#X-Amz-Target=AWSEvents.DescribeEventSource,POST,This operation lists details about a partner ev...,event_source,event_sources,describe_event_source,select,,,,,
DescribePartnerEventSource,/#X-Amz-Target=AWSEvents.DescribePartnerEventSource,POST,An SaaS partner can use this operation to list ...,partner_event_source,partner_event_sources,describe_partner_event_source,select,,,,,
DescribeReplay,/#X-Amz-Target=AWSEvents.DescribeReplay,POST,Retrieves details about a replay. Use `Describe...,replay,replays,describe_replay,select,,,,,
DescribeRule,/#X-Amz-Target=AWSEvents.DescribeRule,POST,Describes the specified rule. DescribeRule does...,rule,rules,describe_rule,select,,,,,
DisableRule,/#X-Amz-Target=AWSEvents.DisableRule,POST,Disables the specified rule. A disabled rule wo...,disable_rule,rules,disable_rule,delete,,,,,
EnableRule,/#X-Amz-Target=AWSEvents.EnableRule,POST,Enables the specified rule. If the rule does no...,enable_rule,rules,enable_rule,insert,,,,,
ListApiDestinations,/#X-Amz-Target=AWSEvents.ListApiDestinations,POST,Retrieves a list of API destination in the acco...,api_destinations,api_destinations,list_api_destinations,select,,,,,
ListArchives,/#X-Amz-Target=AWSEvents.ListArchives,POST,Lists your archives. You can either list all th...,archives,archives,list_archives,select,,,,,
ListConnections,/#X-Amz-Target=AWSEvents.ListConnections,POST,Retrieves a list of connections from the account.,connections,connections,list_connections,select,,,,,
ListEndpoints,/#X-Amz-Target=AWSEvents.ListEndpoints,POST,List the global endpoints associated with this ...,endpoints,endpoints,list_endpoints,select,,,,,
ListEventBuses,/#X-Amz-Target=AWSEvents.ListEventBuses,POST,"Lists all the event buses in your account, incl...",event_buses,event_buses,list_event_buses,select,,,,,
ListEventSources,/#X-Amz-Target=AWSEvents.ListEventSources,POST,You can use this to see all the partner event s...,event_sources,event_sources,list_event_sources,select,,,,,
ListPartnerEventSourceAccounts,/#X-Amz-Target=AWSEvents.ListPartnerEventSourceAccounts,POST,An SaaS partner can use this operation to displ...,partner_event_source_accounts,partner_event_source_accounts,list_partner_event_source_accounts,select,,,,,
ListPartnerEventSources,/#X-Amz-Target=AWSEvents.ListPartnerEventSources,POST,An SaaS partner can use this operation to list ...,partner_event_sources,partner_event_sources,list_partner_event_sources,select,,,,,
ListReplays,/#X-Amz-Target=AWSEvents.ListReplays,POST,Lists your replays. You can either list all the...,replays,replays,list_replays,select,,,,,
ListRuleNamesByTarget,/#X-Amz-Target=AWSEvents.ListRuleNamesByTarget,POST,Lists the rules for the specified target. You c...,rule_names_by_target,rule_names_by_targets,list_rule_names_by_target,select,,,,,
ListRules,/#X-Amz-Target=AWSEvents.ListRules,POST,Lists your Amazon EventBridge rules. You can ei...,rules,rules,list_rules,select,,,,,
ListTagsForResource,/#X-Amz-Target=AWSEvents.ListTagsForResource,POST,Displays the tags associated with an EventBridg...,tags_for_resource,tags_for_resources,list_tags_for_resource,select,,,,,
ListTargetsByRule,/#X-Amz-Target=AWSEvents.ListTargetsByRule,POST,Lists the targets assigned to the specified rul...,targets_by_rule,targets_by_rules,list_targets_by_rule,select,,,,,
PutEvents,/#X-Amz-Target=AWSEvents.PutEvents,POST,Sends custom events to Amazon EventBridge so th...,events,events,put_events,insert,,,,,
PutPartnerEvents,/#X-Amz-Target=AWSEvents.PutPartnerEvents,POST,This is used by SaaS partners to write events t...,partner_events,partner_events,put_partner_events,insert,,,,,
PutPermission,/#X-Amz-Target=AWSEvents.PutPermission,POST,Running `PutPermission` permits the specified A...,permission,permissions,put_permission,insert,,,,,
PutRule,/#X-Amz-Target=AWSEvents.PutRule,POST,Creates or updates the specified rule. Rules ar...,rule,rules,put_rule,insert,,,,,
PutTargets,/#X-Amz-Target=AWSEvents.PutTargets,POST,Adds the specified targets to the specified rul...,targets,targets,put_targets,insert,,,,,
RemovePermission,/#X-Amz-Target=AWSEvents.RemovePermission,POST,Revokes the permission of another Amazon Web Se...,permission,permissions,remove_permission,delete,,,,,
RemoveTargets,/#X-Amz-Target=AWSEvents.RemoveTargets,POST,Removes the specified targets from the specifie...,targets,targets,remove_targets,delete,,,,,
