operationId,path,verb,description,resource,method,sqlVerb,objectKey,reqPaginationKey,reqPaginationLocation,respPaginationKey,respPaginationLocation
AddProfileKey,/domains/{DomainName}/profiles/keys,POST,Associates a new key value with a specific prof...,,add_profile_key,exec,,,,,
BatchGetCalculatedAttributeForProfile,/domains/{DomainName}/calculated-attributes/{CalculatedAttributeName}/batch-get-for-profiles,POST,Fetch the possible attribute values given the a...,,batch_get_calculated_attribute_for_profile,exec,,,,,
BatchGetProfile,/domains/{DomainName}/batch-get-profiles,POST,Get a batch of profiles.,,batch_get_profile,exec,,,,,
CreateCalculatedAttributeDefinition,/domains/{DomainName}/calculated-attributes/{CalculatedAttributeName},POST,Creates a new calculated attribute definition. ...,,create_calculated_attribute_definition,insert,,,,,
CreateDomain,/domains/{DomainName},POST,"Creates a domain, which is a container for all ...",,create_domain,insert,,,,,
CreateDomainLayout,/domains/{DomainName}/layouts/{LayoutDefinitionName},POST,Creates the layout to view data for a specific ...,,create_domain_layout,insert,,,,,
CreateEventStream,/domains/{DomainName}/event-streams/{EventStreamName},POST,"Creates an event stream, which is a subscriptio...",,create_event_stream,insert,,,,,
CreateEventTrigger,/domains/{DomainName}/event-triggers/{EventTriggerName},POST,"Creates an event trigger, which specifies the r...",,create_event_trigger,insert,,,,,
CreateIntegrationWorkflow,/domains/{DomainName}/workflows/integrations,POST,Creates an integration workflow. An integration...,,create_integration_workflow,insert,,,,,
CreateProfile,/domains/{DomainName}/profiles,POST,Creates a standard profile. A standard profile ...,,create_profile,insert,,,,,
CreateRecommender,/domains/{DomainName}/recommenders/{RecommenderName},POST,Creates a recommender,,create_recommender,insert,,,,,
CreateSegmentDefinition,/domains/{DomainName}/segment-definitions/{SegmentDefinitionName},POST,Creates a segment definition associated to the ...,,create_segment_definition,insert,,,,,
CreateSegmentEstimate,/domains/{DomainName}/segment-estimates,POST,Creates a segment estimate query.,,create_segment_estimate,insert,,,,,
CreateSegmentSnapshot,/domains/{DomainName}/segments/{SegmentDefinitionName}/snapshots,POST,Triggers a job to export a segment to a specifi...,,create_segment_snapshot,insert,,,,,
CreateUploadJob,/domains/{DomainName}/upload-jobs,POST,Creates an Upload job to ingest data for segmen...,,create_upload_job,insert,,,,,
DeleteCalculatedAttributeDefinition,/domains/{DomainName}/calculated-attributes/{CalculatedAttributeName},DELETE,Deletes an existing calculated attribute defini...,,delete_calculated_attribute_definition,delete,,,,,
DeleteDomain,/domains/{DomainName},DELETE,Deletes a specific domain and all of its custom...,,delete_domain,delete,,,,,
DeleteDomainLayout,/domains/{DomainName}/layouts/{LayoutDefinitionName},DELETE,Deletes the layout used to view data for a spec...,,delete_domain_layout,delete,,,,,
DeleteDomainObjectType,/domains/{DomainName}/domain-object-types/{ObjectTypeName},DELETE,Delete a DomainObjectType for the given Domain ...,,delete_domain_object_type,delete,,,,,
DeleteEventStream,/domains/{DomainName}/event-streams/{EventStreamName},DELETE,Disables and deletes the specified event stream.,,delete_event_stream,delete,,,,,
DeleteEventTrigger,/domains/{DomainName}/event-triggers/{EventTriggerName},DELETE,Disable and deletes the Event Trigger. You cann...,,delete_event_trigger,delete,,,,,
DeleteIntegration,/domains/{DomainName}/integrations/delete,POST,Removes an integration from a specific domain.,,delete_integration,delete,,,,,
DeleteProfile,/domains/{DomainName}/profiles/delete,POST,Deletes the standard customer profile and all d...,,delete_profile,delete,,,,,
DeleteProfileKey,/domains/{DomainName}/profiles/keys/delete,POST,Removes a searchable key from a customer profile.,,delete_profile_key,delete,,,,,
DeleteProfileObject,/domains/{DomainName}/profiles/objects/delete,POST,Removes an object associated with a profile of ...,,delete_profile_object,delete,,,,,
DeleteProfileObjectType,/domains/{DomainName}/object-types/{ObjectTypeName},DELETE,Removes a ProfileObjectType from a specific dom...,,delete_profile_object_type,delete,,,,,
DeleteRecommender,/domains/{DomainName}/recommenders/{RecommenderName},DELETE,Deletes a recommender.,,delete_recommender,delete,,,,,
DeleteSegmentDefinition,/domains/{DomainName}/segment-definitions/{SegmentDefinitionName},DELETE,Deletes a segment definition from the domain.,,delete_segment_definition,delete,,,,,
DeleteWorkflow,/domains/{DomainName}/workflows/{WorkflowId},DELETE,Deletes the specified workflow and all its corr...,,delete_workflow,delete,,,,,
DetectProfileObjectType,/domains/{DomainName}/detect/object-types,POST,The process of detecting profile object type ma...,,detect_profile_object_type,exec,,,,,
GetAutoMergingPreview,/domains/{DomainName}/identity-resolution-jobs/auto-merging-preview,POST,Tests the auto-merging settings of your Identit...,,get_auto_merging_preview,select,,,,,
