filename,servicename,protocol
accessanalyzer-2019-11-01.json,com.amazonaws.accessanalyzer#AccessAnalyzer,aws.protocols#restJson1
account-2021-02-01.json,com.amazonaws.account#Account,aws.protocols#restJson1
acm-2015-12-08.json,com.amazonaws.acm#CertificateManager,aws.protocols#awsJson1_1
acm-pca-2017-08-22.json,com.amazonaws.acmpca#ACMPrivateCA,aws.protocols#awsJson1_1
aiops-2018-05-10.json,com.amazonaws.aiops#AIOps,aws.protocols#restJson1
amp-2020-08-01.json,com.amazonaws.amp#AmazonPrometheusService,aws.protocols#restJson1
amplify-2017-07-25.json,com.amazonaws.amplify#Amplify,aws.protocols#restJson1
amplifybackend-2020-08-11.json,com.amazonaws.amplifybackend#AmplifyBackend,aws.protocols#restJson1
amplifyuibuilder-2021-08-11.json,com.amazonaws.amplifyuibuilder#AmplifyUIBuilder,aws.protocols#restJson1
api-gateway-2015-07-09.json,com.amazonaws.apigateway#BackplaneControlService,aws.protocols#restJson1
apigatewaymanagementapi-2018-11-29.json,com.amazonaws.apigatewaymanagementapi#ApiGatewayManagementApi,aws.protocols#restJson1
apigatewayv2-2018-11-29.json,com.amazonaws.apigatewayv2#ApiGatewayV2,aws.protocols#restJson1
app-mesh-2019-01-25.json,com.amazonaws.appmesh#AppMesh,aws.protocols#restJson1
appconfig-2019-10-09.json,com.amazonaws.appconfig#AmazonAppConfig,aws.protocols#restJson1
appconfigdata-2021-11-11.json,com.amazonaws.appconfigdata#AppConfigData,aws.protocols#restJson1
appfabric-2023-05-19.json,com.amazonaws.appfabric#FabricFrontEndService,aws.protocols#restJson1
appflow-2020-08-23.json,com.amazonaws.appflow#SandstoneConfigurationServiceLambda,aws.protocols#restJson1
appintegrations-2020-07-29.json,com.amazonaws.appintegrations#AmazonAppIntegrationService,aws.protocols#restJson1
application-auto-scaling-2016-02-06.json,com.amazonaws.applicationautoscaling#AnyScaleFrontendService,aws.protocols#awsJson1_1
application-discovery-service-2015-11-01.json,com.amazonaws.applicationdiscoveryservice#AWSPoseidonService_V2015_11_01,aws.protocols#awsJson1_1
application-insights-2018-11-25.json,com.amazonaws.applicationinsights#EC2WindowsBarleyService,aws.protocols#awsJson1_1
application-signals-2024-04-15.json,com.amazonaws.applicationsignals#ApplicationSignals,aws.protocols#restJson1
applicationcostprofiler-2020-09-10.json,com.amazonaws.applicationcostprofiler#AWSApplicationCostProfiler,aws.protocols#restJson1
apprunner-2020-05-15.json,com.amazonaws.apprunner#AppRunner,aws.protocols#awsJson1_0
appstream-2016-12-01.json,com.amazonaws.appstream#PhotonAdminProxyService,aws.protocols#awsJson1_1
appsync-2017-07-25.json,com.amazonaws.appsync#AWSDeepdishControlPlaneService,aws.protocols#restJson1
arc-region-switch-2022-07-26.json,com.amazonaws.arcregionswitch#ArcRegionSwitch,aws.protocols#awsJson1_0
arc-zonal-shift-2022-10-30.json,com.amazonaws.arczonalshift#PercDataPlane,aws.protocols#restJson1
artifact-2018-05-10.json,com.amazonaws.artifact#Artifact,aws.protocols#restJson1
athena-2017-05-18.json,com.amazonaws.athena#AmazonAthena,aws.protocols#awsJson1_1
auditmanager-2017-07-25.json,com.amazonaws.auditmanager#BedrockAssessmentManagerLambda,aws.protocols#restJson1
auto-scaling-2011-01-01.json,com.amazonaws.autoscaling#AutoScaling_2011_01_01,aws.protocols#awsQuery
auto-scaling-plans-2018-01-06.json,com.amazonaws.autoscalingplans#AnyScaleScalingPlannerFrontendService,aws.protocols#awsJson1_1
b2bi-2022-06-23.json,com.amazonaws.b2bi#B2BI,aws.protocols#awsJson1_0
backup-2018-11-15.json,com.amazonaws.backup#CryoControllerUserManager,aws.protocols#restJson1
backup-gateway-2021-01-01.json,com.amazonaws.backupgateway#BackupOnPremises_v20210101,aws.protocols#awsJson1_0
backupsearch-2018-05-10.json,com.amazonaws.backupsearch#CryoBackupSearchService,aws.protocols#restJson1
batch-2016-08-10.json,com.amazonaws.batch#AWSBatchV20160810,aws.protocols#restJson1
bcm-dashboards-2025-08-18.json,com.amazonaws.bcmdashboards#AWSBCMDashboardsService,aws.protocols#awsJson1_0
bcm-data-exports-2023-11-26.json,com.amazonaws.bcmdataexports#AWSBillingAndCostManagementDataExports,aws.protocols#awsJson1_1
bcm-pricing-calculator-2024-06-19.json,com.amazonaws.bcmpricingcalculator#AWSBCMPricingCalculator,aws.protocols#awsJson1_0
bcm-recommended-actions-2024-11-14.json,com.amazonaws.bcmrecommendedactions#AWSBillingAndCostManagementRecommendedActions,aws.protocols#awsJson1_0
bedrock-2023-04-20.json,com.amazonaws.bedrock#AmazonBedrockControlPlaneService,aws.protocols#restJson1
bedrock-agent-2023-06-05.json,com.amazonaws.bedrockagent#AmazonBedrockAgentBuildTimeLambda,aws.protocols#restJson1
bedrock-agent-runtime-2023-07-26.json,com.amazonaws.bedrockagentruntime#AmazonBedrockAgentRunTimeService,aws.protocols#restJson1
bedrock-agentcore-2024-02-28.json,com.amazonaws.bedrockagentcore#AmazonBedrockAgentCore,aws.protocols#restJson1
bedrock-agentcore-control-2023-06-05.json,com.amazonaws.bedrockagentcorecontrol#AmazonBedrockAgentCoreControl,aws.protocols#restJson1
bedrock-data-automation-2023-07-26.json,com.amazonaws.bedrockdataautomation#AmazonBedrockKeystoneBuildTimeService,aws.protocols#restJson1
bedrock-data-automation-runtime-2024-06-13.json,com.amazonaws.bedrockdataautomationruntime#AmazonBedrockKeystoneRuntimeService,aws.protocols#awsJson1_1
bedrock-runtime-2023-09-30.json,com.amazonaws.bedrockruntime#AmazonBedrockFrontendService,aws.protocols#restJson1
billing-2023-09-07.json,com.amazonaws.billing#AWSBilling,aws.protocols#awsJson1_0
billingconductor-2021-07-30.json,com.amazonaws.billingconductor#AWSBillingConductor,aws.protocols#restJson1
braket-2019-09-01.json,com.amazonaws.braket#Braket,aws.protocols#restJson1
budgets-2016-10-20.json,com.amazonaws.budgets#AWSBudgetServiceGateway,aws.protocols#awsJson1_1
chatbot-2017-10-11.json,com.amazonaws.chatbot#WheatleyOrchestration_20171011,aws.protocols#restJson1
chime-2018-05-01.json,com.amazonaws.chime#UCBuzzConsoleService,aws.protocols#restJson1
chime-sdk-identity-2021-04-20.json,com.amazonaws.chimesdkidentity#ChimeIdentityService,aws.protocols#restJson1
chime-sdk-media-pipelines-2021-07-15.json,com.amazonaws.chimesdkmediapipelines#ChimeSDKMediaPipelinesService,aws.protocols#restJson1
chime-sdk-meetings-2021-07-15.json,com.amazonaws.chimesdkmeetings#ChimeMeetingsSDKService,aws.protocols#restJson1
chime-sdk-messaging-2021-05-15.json,com.amazonaws.chimesdkmessaging#ChimeMessagingService,aws.protocols#restJson1
chime-sdk-voice-2022-08-03.json,com.amazonaws.chimesdkvoice#ChimeSDKTelephonyService,aws.protocols#restJson1
cleanrooms-2022-02-17.json,com.amazonaws.cleanrooms#AWSBastionControlPlaneServiceLambda,aws.protocols#restJson1
cleanroomsml-2023-09-06.json,com.amazonaws.cleanroomsml#AWSStarkControlService,aws.protocols#restJson1
cloud9-2017-09-23.json,com.amazonaws.cloud9#AWSCloud9WorkspaceManagementService,aws.protocols#awsJson1_1
cloudcontrol-2021-09-30.json,com.amazonaws.cloudcontrol#CloudApiService,aws.protocols#awsJson1_0
clouddirectory-2017-01-11.json,com.amazonaws.clouddirectory#AmazonCloudDirectory_20170111,aws.protocols#restJson1
cloudformation-2010-05-15.json,com.amazonaws.cloudformation#CloudFormation,aws.protocols#awsQuery
cloudfront-2020-05-31.json,com.amazonaws.cloudfront#Cloudfront2020_05_31,aws.protocols#restXml
cloudfront-keyvaluestore-2022-07-26.json,com.amazonaws.cloudfrontkeyvaluestore#CloudFrontKeyValueStore,aws.protocols#restJson1
cloudhsm-2014-05-30.json,com.amazonaws.cloudhsm#CloudHsmFrontendService,aws.protocols#awsJson1_1
cloudhsm-v2-2017-04-28.json,com.amazonaws.cloudhsmv2#BaldrApiService,aws.protocols#awsJson1_1
cloudsearch-2013-01-01.json,com.amazonaws.cloudsearch#A9SearchCloudConfigService2013,aws.protocols#awsQuery
cloudsearch-domain-2013-01-01.json,com.amazonaws.cloudsearchdomain#AmazonCloudSearch2013,aws.protocols#restJson1
cloudtrail-2013-11-01.json,com.amazonaws.cloudtrail#CloudTrail_20131101,aws.protocols#awsJson1_1
cloudtrail-data-2021-08-11.json,com.amazonaws.cloudtraildata#CloudTrailDataService,aws.protocols#restJson1
cloudwatch-2010-08-01.json,com.amazonaws.cloudwatch#GraniteServiceVersion20100801,aws.protocols#awsQuery
cloudwatch-events-2015-10-07.json,com.amazonaws.cloudwatchevents#AWSEvents,aws.protocols#awsJson1_1
cloudwatch-logs-2014-03-28.json,com.amazonaws.cloudwatchlogs#Logs_20140328,aws.protocols#awsJson1_1
codeartifact-2018-09-22.json,com.amazonaws.codeartifact#CodeArtifactControlPlaneService,aws.protocols#restJson1
codebuild-2016-10-06.json,com.amazonaws.codebuild#CodeBuild_20161006,aws.protocols#awsJson1_1
codecatalyst-2022-09-28.json,com.amazonaws.codecatalyst#CodeCatalyst,aws.protocols#restJson1
codecommit-2015-04-13.json,com.amazonaws.codecommit#CodeCommit_20150413,aws.protocols#awsJson1_1
codeconnections-2023-12-01.json,com.amazonaws.codeconnections#CodeConnections_20231201,aws.protocols#awsJson1_0
codedeploy-2014-10-06.json,com.amazonaws.codedeploy#CodeDeploy_20141006,aws.protocols#awsJson1_1
codeguru-reviewer-2019-09-19.json,com.amazonaws.codegurureviewer#AWSGuruFrontendService,aws.protocols#restJson1
codeguru-security-2018-05-10.json,com.amazonaws.codegurusecurity#AwsCodeGuruSecurity,aws.protocols#restJson1
codeguruprofiler-2019-07-18.json,com.amazonaws.codeguruprofiler#CodeGuruProfiler,aws.protocols#restJson1
